"Server-side request forgery","Making a network request with user-controlled data in the URL allows for request forgery attacks.","error","The [[""URL""|""relative:///test/protocol-imports-test.js:635:39:635:73""]] of this request depends on a [[""user-provided value""|""relative:///test/protocol-imports-test.js:635:61:635:67""]].","/test/protocol-imports-test.js","635","9","635","92"
"Server-side request forgery","Making a network request with user-controlled data in the URL allows for request forgery attacks.","error","The [[""URL""|""relative:///test/protocol-imports-test.js:680:39:680:73""]] of this request depends on a [[""user-provided value""|""relative:///test/protocol-imports-test.js:680:61:680:67""]].","/test/protocol-imports-test.js","680","9","680","92"
"Server-side request forgery","Making a network request with user-controlled data in the URL allows for request forgery attacks.","error","The [[""URL""|""relative:///test/protocol-imports-test.js:726:39:726:73""]] of this request depends on a [[""user-provided value""|""relative:///test/protocol-imports-test.js:726:61:726:67""]].","/test/protocol-imports-test.js","726","9","726","110"
"Server-side request forgery","Making a network request with user-controlled data in the URL allows for request forgery attacks.","error","The [[""URL""|""relative:///test/protocol-imports-test.js:763:39:763:73""]] of this request depends on a [[""user-provided value""|""relative:///test/protocol-imports-test.js:763:61:763:67""]].","/test/protocol-imports-test.js","763","9","763","92"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\W' is equivalent to just 'W', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///lib/optimizer/level-1/optimize.js:594:55:594:103""]].","/lib/optimizer/level-1/optimize.js","594","100","594","101"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression only parses --> and not --!> as a HTML comment end tag.","/lib/optimizer/level-1/tidy-rules.js","9","29","9","49"
"Prototype-polluting assignment","Modifying an object obtained via a user-controlled property name may lead to accidental mutation of the built-in Object prototype, and possibly escalate to remote code execution or cross-site scripting.","warning","This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lib/clean.js:30:51:30:57""]].","/lib/options/compatibility.js","147","7","147","12"
"Prototype-polluting assignment","Modifying an object obtained via a user-controlled property name may lead to accidental mutation of the built-in Object prototype, and possibly escalate to remote code execution or cross-site scripting.","warning","This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lib/clean.js:30:51:30:57""]].","/lib/options/compatibility.js","149","7","149","12"
"Prototype-polluting function","Functions recursively assigning properties on objects may be the cause of accidental modification of a built-in prototype object.","warning","Properties are copied from [[""source""|""relative:///lib/options/compatibility.js:143:19:143:24""]] to [[""target""|""relative:///lib/options/compatibility.js:149:7:149:12""]] without guarding against prototype pollution.","/lib/options/compatibility.js","149","7","149","12"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///lib/reader/extract-import-url-and-media.js:7:29:7:31""]] that depends on [[""library input""|""relative:///lib/clean.js:51:30:51:34""]] may run slow on strings with many repetitions of ' '.
This [[""regular expression""|""relative:///lib/reader/extract-import-url-and-media.js:7:29:7:31""]] that depends on [[""library input""|""relative:///lib/clean.js:65:39:65:43""]] may run slow on strings with many repetitions of ' '.
This [[""regular expression""|""relative:///lib/reader/extract-import-url-and-media.js:7:29:7:31""]] that depends on [[""library input""|""relative:///test/module-test.js:34:42:34:45""]] may run slow on strings with many repetitions of ' '.","/lib/reader/extract-import-url-and-media.js","17","14","23","38"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///lib/reader/extract-import-url-and-media.js:9:27:9:29""]] that depends on [[""library input""|""relative:///lib/clean.js:51:30:51:34""]] may run slow on strings with many repetitions of ' '.
This [[""regular expression""|""relative:///lib/reader/extract-import-url-and-media.js:9:27:9:29""]] that depends on [[""library input""|""relative:///lib/clean.js:65:39:65:43""]] may run slow on strings with many repetitions of ' '.
This [[""regular expression""|""relative:///lib/reader/extract-import-url-and-media.js:9:27:9:29""]] that depends on [[""library input""|""relative:///test/module-test.js:34:42:34:45""]] may run slow on strings with many repetitions of ' '.","/lib/reader/extract-import-url-and-media.js","17","14","21","37"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///lib/tokenizer/tokenize.js:64:34:64:41""]] that depends on [[""library input""|""relative:///lib/clean.js:51:30:51:34""]] may run slow on strings with many repetitions of '\t'.
This [[""regular expression""|""relative:///lib/tokenizer/tokenize.js:64:34:64:41""]] that depends on [[""library input""|""relative:///lib/clean.js:65:39:65:43""]] may run slow on strings with many repetitions of '\t'.
This [[""regular expression""|""relative:///lib/tokenizer/tokenize.js:64:34:64:41""]] that depends on [[""library input""|""relative:///test/module-test.js:34:42:34:45""]] may run slow on strings with many repetitions of '\t'.","/lib/tokenizer/tokenize.js","505","24","505","77"
