repository,package,status,fixed_findings,reverted_findings,new_findings,new_in_patched_files,new_errors,new_warnings,new_info,detected,top_rules,codeql_status,codeql_fixed,codeql_reverted,codeql_new,codeql_detected,codeql_top_rules,detected_by,codeql_messages,semgrep_messages,revert_status,files_reverted,note
ansi-regex_4.1.0,ansi-regex,ok,2,2,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,1,
axios_0.21.0,axios,ok,26,26,0,0,0,0,0,no,,,,,,,,,,,ok,1,
browserslist_4.16.4,browserslist,ok,27,27,0,0,0,0,0,no,,,,,,,,,,,ok,3,
cejs_2.0.20170212,cejs,ok,582,581,0,0,0,0,0,no,,,,,,,,,,,ok,5,
chrono-node_2.2.3,chrono-node,ok,57,58,1,1,0,1,0,yes,detect-non-literal-regexp×1,ok,1,1,0,no,,semgrep,,"detect-non-literal-regexp @ src/utils/pattern.ts:4 — RegExp() called with a `regExp` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is re…",ok,7,
clean-css_4.1.10,clean-css,ok,38,39,1,1,0,1,0,yes,mini-regexp-from-variable×1,ok,12,12,0,no,,semgrep,,"mini-regexp-from-variable @ lib/optimizer/validator.js:440 — Regular expression compiled from a value. An attacker-supplied pattern gives control over matching (ReDoS, or a validator that matches everything).",ok,8,
codemirror_5.58.0,codemirror,ok,433,433,0,0,0,0,0,no,,ok,57,58,1,yes,Inefficient regular expression×1,codeql,Inefficient regular expression @ /mode/javascript/javascript.js — This part of the regular expression may cause exponential backtracking on strings starting with '/*' and containing many repetitions of '*//*'.,,ok,1,
color-string_1.5.4,color-string,ok,0,0,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:153:36:153:38""]] that depends on [[""library input""|""relative:///index.js:19:20:19:25""]] may run slow on strings starting with 'hwb(' and with many repetitions of '9'. Th…",,ok,1,
colors-cli_1.0.25,colors-cli,ok,8,8,0,0,0,0,0,no,,ok,2,2,0,no,,neither,,,ok,1,
content_3.0.5,content,ok,0,0,0,0,0,0,0,no,,ok,3,4,4,yes,Polynomial regular expression used on uncontrolled data×3; Inefficient regular expression×1,codeql,"Inefficient regular expression @ /lib/index.js — This part of the regular expression may cause exponential backtracking on strings starting with '!/!' and containing many repetitions of ';boundary=!'. || Polynomial regular expression used on uncontrolled data @ /lib/index.js — This [[""regular expression""|""relative:///lib/index.js:23:57:23:59""]] that depends on [[""library input""|""relative:///lib/index.js:25:26:25:31""]] may run slow on strings starting with '!/!' and with many repetitions of ';… || Polynomial regular expression used on uncontrolled data @ /lib/index.js — This [[""regular expression""|""relative:///lib/index.js:61:62:61:63""]] that depends on [[""library input""|""relative:///lib/index.js:66:33:66:38""]] may run slow on strings starting with 'form-data;' and with many repetition… || Polynomial regular expression used on uncontrolled data @ /lib/index.js — This [[""regular expression""|""relative:///lib/index.js:64:44:64:53""]] that depends on [[""library input""|""relative:///lib/index.js:66:33:66:38""]] may run slow on strings with many repetitions of '!'. This [[""regular expre…",,ok,2,
