category,benchmark,outcome,failure_cause,source_tag,verdict_source,superseded_runs,superseded_outcomes,verdict
code-injection,hot-formula-parser_3.0.0,not-solved,,base,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=REGRESSION ❌ 35 new failure(s) (baseline 4, now 39), gates=FAIL"
code-injection,is-my-json-valid_2.20.0,failed,never started (setup only),judge14,none,0,,
code-injection,js-yaml_3.13.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 2), gates=PASS, final_gate=['SOLVED_SAFE']"
code-injection,m-log_0.0.1,failed,setup: Dockerfile.fixed missing,judge14,none,0,,
code-injection,mixin-pro_0.6.0,SOLVED,,base,run_meta,2,SOLVED_SAFE;SOLVED_SAFE,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
code-injection,mobile-icon-resizer_0.4.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
code-injection,pixl-class_1.0.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
code-injection,thenify_3.3.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 20), gates=FAIL"
code-injection,underscore_1.13.0-0,not-solved,,base,run_meta,0,,"Pipeline done. loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=FAIL"
command-injection,apex-publish-static-files_2.0.0,SOLVED,,base,run_meta,1,SOLVED_SAFE,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
command-injection,arpping_2.0.0,failed,docker: container died / not found,judge14,none,0,,
command-injection,async-git_1.13.1,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
command-injection,clamscan_1.2.0,SOLVED_SAFE,,judge9,run_meta,1,SOLVED_SAFE,"Pipeline done. seed=hardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 45 failing, still 45; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED_SAFE']"
command-injection,diskstats_0.0.2,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
command-injection,dns-sync_0.1.0,SOLVED_SAFE,,judge9,run_meta,1,failed,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']"
command-injection,get-npm-package-version_1.0.6,SOLVED,,base,run_meta,2,SOLVED_SAFE;failed,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']"
command-injection,growl_1.9.0,SOLVED,,base,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
command-injection,hot-formula-parser_3.0.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 4 failing, still 4; pre-existing failures ignored), gates=FAIL"
command-injection,kill-by-port_0.0.1,failed,interrupted mid-pipeline (no verdict written),base,none,0,,
command-injection,killport_1.0.1,SOLVED_SAFE,,judge6,run_meta,1,SOLVED_SAFE,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
command-injection,libnmap_0.4.11,SOLVED,,judge14,run_meta,2,SOLVED_SAFE;failed,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
command-injection,macaddress_0.2.8,SOLVED,,base,run_meta,2,SOLVED_SAFE;failed,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']"
command-injection,pdf-image_1.0.5,failed,interrupted mid-pipeline (no verdict written),judge6,none,0,,
command-injection,pidusage_1.0.0,SOLVED_SAFE,,base,run_meta,1,not-solved,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']"
command-injection,portprocesses_1.0.4,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
command-injection,samsung-remote_1.2.5,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
command-injection,total.js_3.4.6,failed,interrupted mid-pipeline (no verdict written),judge14,none,0,,
command-injection,whereis_0.4.0,SOLVED,,judge9,run_meta,1,SOLVED,"Pipeline done. seed=hardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED']"
path-traversal,angular-http-server_1.0.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
path-traversal,crud-file-server_0.7.0,failed,seed patch failed to apply,judge14,none,0,,
path-traversal,glance_3.0.0,failed,docker: container died / not found,judge14,none,0,,
path-traversal,hangersteak_0.2.2,failed,docker: container died / not found,judge14,none,0,,
path-traversal,m-server_1.4.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL"
path-traversal,node-simple-router_0.10.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
prototype-pollution,assign-deep_1.0.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,cached-path-relative_1.0.1,SOLVED,,base,run_meta,0,,"Pipeline done. loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,changeset_0.1.0,SOLVED,,judge10,run_meta,1,SOLVED_SAFE,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,confinit_0.3.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 3), gates=FAIL"
prototype-pollution,deep-extend_0.5.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,deep-override_1.0.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,deephas_1.0.5,not-solved,,judge8,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
prototype-pollution,deeply_3.0.0,SOLVED,,judge8,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,deepref_1.1.1,SOLVED,,judge10,run_meta,1,SOLVED_SAFE,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 2), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,defaults-deep_0.2.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,dot-object_2.1.2,not-solved,,judge6,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL"
prototype-pollution,dot-prop_2.0.0,failed,interrupted mid-pipeline (no verdict written),judge8,none,0,,
prototype-pollution,eivifj-dot_1.0.2,not-solved,,judge8,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
prototype-pollution,extend-merge_1.0.5,SOLVED_SAFE,,judge8,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,flat_5.0.0,failed,seed patch failed to apply,judge6,none,0,,
