category,repository,package,version,outcome,evaded_both,status,baseline_test,exploit_reproduces,granularity,units_total,units_kept,winning_transform,transform_layers,semgrep_fixed,semgrep_new_full,semgrep_new_minimal,semgrep_new_final,codeql_fixed,codeql_new_full,codeql_new_minimal,codeql_new_final,detected_by,semgrep_top_rules,codeql_top_rules,ci_strategy,ci_verdict,audit_new,repo_suspect,semgrep_messages,codeql_messages
code-injection,handsontable/formula-parser,hot-formula-parser,3.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,hunk,96,1,eval->Function+locals,sink,5,3,3,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
code-injection,mafintosh/is-my-json-valid,is-my-json-valid,2.20.0,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,4,,,,,,,,,,,,,,,,,,,,
code-injection,nodeca/js-yaml,js-yaml,3.13.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,10,1,,,7,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
code-injection,m-prj/m-log,m-log,0.0.1,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,4,1,,,6,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
code-injection,floatinghotpot/mixin-pro,mixin-pro,0.6.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,2,1,,,8,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
code-injection,muzzley/mobile-icon-resizer,mobile-icon-resizer,0.4.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,5,1,eval->Function+locals,sink,8,4,4,1,0,0,0,0,semgrep,secbench-tainted-code-exec×1,,exploit-minimal,skipped,0,,secbench-tainted-code-exec @ lib/resize.js:32 — Untrusted input reaches a dynamic code-execution sink without passing through a sanitizer.,
code-injection,milojs/proto,mol-proto,0.1.3,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,
code-injection,jhuckaby/pixl-class,pixl-class,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,1,,,5,3,3,3,0,0,0,0,semgrep,eval-detected×1; mini-dynamic-code-evaluation×1; secbench-eval-call×1,,exploit-minimal,skipped,0,,"eval-detected @ class.js:26 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not… || mini-dynamic-code-evaluation @ class.js:26 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || secbench-eval-call @ class.js:26 — eval() executes its argument as code; if attacker-controlled this is a code-injection sink.",
code-injection,yahoo/serialize-javascript,serialize-javascript,2.0.0,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,10,,,,,,,,,,,,,,,,,,,,
code-injection,commenthol/serialize-to-js,serialize-to-js,0.5.0,exploit-fail,,poc-self-fires-on-revert,fail,,line,21,,,,,,,,,,,,,,,,,,,,
code-injection,browserify/static-eval,static-eval,1.1.1,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,1,,,,,,,,,,,,,,,,,,,,
code-injection,thenables/thenify,thenify,3.3.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,9,3,,,0,7,4,4,0,0,0,0,semgrep,eval-detected×1; mini-dynamic-code-evaluation×1; secbench-eval-call×1; secbench-tainted-code-exec×1,,exploit-minimal,skipped,0,,"eval-detected @ index.js:17 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not… || mini-dynamic-code-evaluation @ index.js:17 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || secbench-eval-call @ index.js:17 — eval() executes its argument as code; if attacker-controlled this is a code-injection sink. || secbench-tainted-code-exec @ index.js:17 — Untrusted input reaches a dynamic code-execution sink without passing through a sanitizer.",
code-injection,jashkenas/underscore,underscore,1.13.0-0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,14,3,,,27,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
