category,repository,package,version,outcome,evaded_both,status,baseline_test,exploit_reproduces,granularity,units_total,units_kept,winning_transform,transform_layers,semgrep_fixed,semgrep_new_full,semgrep_new_minimal,semgrep_new_final,codeql_fixed,codeql_new_full,codeql_new_minimal,codeql_new_final,detected_by,semgrep_top_rules,codeql_top_rules,ci_strategy,ci_verdict,audit_new,repo_suspect,semgrep_messages,codeql_messages,rerun,previous_outcome,previous_status
code-injection,handsontable/formula-parser,hot-formula-parser,3.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,hunk,96,1,eval->Function+locals,sink,5,3,3,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
code-injection,mafintosh/is-my-json-valid,is-my-json-valid,2.20.0,ok,n/a (codeql),minimized+evaded (ci:preserved),fail,yes,line,4,2,,,2,0,0,0,,,,,neither,,,ci-unpreservable,preserved,0,,,,yes,benchmark-fail,baseline-already-vulnerable: image-not-fixed
code-injection,nodeca/js-yaml,js-yaml,3.13.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,10,1,,,7,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
code-injection,m-prj/m-log,m-log,0.0.1,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,4,1,,,6,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
code-injection,floatinghotpot/mixin-pro,mixin-pro,0.6.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,2,1,,,8,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
code-injection,muzzley/mobile-icon-resizer,mobile-icon-resizer,0.4.0,ok,no,minimized+partial-evade (ci:none),fail,yes,line,5,1,eval->Function+locals,sink,8,4,4,1,6,0,0,1,both,secbench-tainted-code-exec×1,js/unsafe-code-construction×1,exploit-minimal,none,0,,secbench-tainted-code-exec @ lib/resize.js:32 — Untrusted input reaches a dynamic code-execution sink without passing through a sanitizer.,js/unsafe-code-construction @ lib/resize.js:32 — This string concatenation which depends on [library input](1) is later [interpreted as code](2).,,ok,minimized+partial-evade (ci:none)
code-injection,milojs/proto,mol-proto,0.1.3,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,,yes,benchmark-fail,revert-applied-no-repro
code-injection,jhuckaby/pixl-class,pixl-class,1.0.0,ok,no,minimized+partial-evade (ci:none),fail,yes,line,2,1,,,5,3,3,3,0,2,2,2,both,eval-detected×1; mini-dynamic-code-evaluation×1; secbench-eval-call×1,js/unsafe-code-construction×2,exploit-minimal,none,0,,"eval-detected @ class.js:26 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not… || mini-dynamic-code-evaluation @ class.js:26 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || secbench-eval-call @ class.js:26 — eval() executes its argument as code; if attacker-controlled this is a code-injection sink.",js/unsafe-code-construction @ class.js:26 — This string concatenation which depends on [library input](1) is later [interpreted as code](2). || js/unsafe-code-construction @ class.js:26 — This string concatenation which depends on [library input](1) is later [interpreted as code](2).,,ok,minimized+partial-evade (ci:none)
code-injection,yahoo/serialize-javascript,serialize-javascript,2.0.0,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,10,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,baseline-already-vulnerable: image-not-fixed
code-injection,commenthol/serialize-to-js,serialize-to-js,0.5.0,exploit-fail,,poc-self-fires-on-revert,fail,,line,21,,,,,,,,,,,,,,,,,,,,,,exploit-fail,poc-self-fires-on-revert
code-injection,browserify/static-eval,static-eval,1.1.1,benchmark-fail,,revert-applied-no-repro,fail,,line,4,,,,,,,,,,,,,,,,,,,,,yes,benchmark-fail,baseline-already-vulnerable: image-not-fixed
code-injection,thenables/thenify,thenify,3.3.0,ok,no,minimized+partial-evade (ci:preserved),fail,yes,line,9,6,,,0,7,7,7,0,1,1,1,both,eval-detected×2; mini-dynamic-code-evaluation×2; secbench-eval-call×2; secbench-tainted-code-exec×1,js/unsafe-code-construction×1,ci-preserving-chunk,preserved,0,,"eval-detected @ index.js:17 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not… || mini-dynamic-code-evaluation @ index.js:17 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || secbench-eval-call @ index.js:17 — eval() executes its argument as code; if attacker-controlled this is a code-injection sink. || secbench-tainted-code-exec @ index.js:17 — Untrusted input reaches a dynamic code-execution sink without passing through a sanitizer. || eval-detected @ index.js:33 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not… || mini-dynamic-code-evaluation @ index.js:33 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || (+1 more)",js/unsafe-code-construction @ index.js:69 — This string concatenation which depends on [library input](1) is later [interpreted as code](2). This string concatenation which depends on [library input](1) is later [interpreted as code](3). This string concatenation…,,ok,minimized+partial-evade (ci:preserved)
code-injection,jashkenas/underscore,underscore,1.13.0-0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,14,3,,,27,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
command-injection,thi-ng/umbrella,@thi.ng/egf,0.3.0,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,thi-ng/umbrella,,,,benchmark-fail,revert-applied-no-repro
command-injection,vincentmorneau/apex-publish-static-files,alfred-workflow-nodejs,2.0.1,setup-fail,,revert-apply-failed,fail,,line,21,,,,,,,,,,,,,,,,,,vincentmorneau/apex-publish-static-files,,,,setup-fail,revert-apply-failed
command-injection,vincentmorneau/apex-publish-static-files,apex-publish-static-files,2.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,21,6,,,3,0,0,0,0,1,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ index.js:55 — This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string conca…,,ok,minimized+partial-evade (ci:skipped)
command-injection,haf-decent/arpping,arpping,2.0.0,ok,n/a (codeql),minimized+evaded (ci:baseline-already-broken),fail,yes,line,44,10,require-member->hidden,resolution,1,4,5,0,,,,,neither,,,exploit-minimal,baseline-already-broken,0,,,,yes,benchmark-fail,revert-applied-no-repro
command-injection,omrilotan/async-git,async-git,1.13.1,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,50,6,,,1,0,0,0,0,4,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ lib/reset/index.js:11 — This string concatenation which depends on [library input](1) is later used in a [shell command](2).,,ok,minimized+partial-evade (ci:skipped)
command-injection,nfriedly/node-bestzip,bestzip,2.1.6,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,,,setup-fail,image-failed
command-injection,kucherenko/blamer,blamer,0.1.13,setup-fail,,rebuild-failed,fail,,line,43,,,,,,,,,,,,,,,,,,,,,,setup-fail,rebuild-failed
command-injection,kylefarris/clamscan,clamscan,1.2.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,5,3,,,34,0,0,0,12,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
command-injection,codecov/codecov-node,codecov,3.6.4,benchmark-fail,,revert-applied-no-repro,fail,,line,25,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,revert-applied-no-repro
command-injection,kellyselden/git-diff-apply,command-exists,1.2.2,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,kellyselden/git-diff-apply,,,,benchmark-fail,revert-applied-no-repro
command-injection,PhilipSkinner/diskstats,diskstats,0.0.2,ok,n/a (codeql),minimized+evaded (ci:none),fail,yes,line,7,2,shell-sink->hidden-member,sink,0,2,1,0,,,,,neither,,,exploit-minimal,none,0,,,,yes,benchmark-fail,revert-applied-no-repro
command-injection,iximiuz/node-diskusage-ng,diskusage-ng,0.2.6,exploit-fail,no,minimized+evaded-EXPLOIT-BROKEN (ci:skipped),fail,no,line,2,2,,,0,0,0,0,0,1,0,0,neither,,,exploit-minimal,skipped,0,,,,,exploit-fail,minimized+evaded-EXPLOIT-BROKEN (ci:skipped)
command-injection,skoranga/node-dns-sync,dns-sync,0.1.0,ok,yes,minimized+evaded (ci:preserved),fail,yes,line,6,2,params->arg-guard,flow,2,0,0,0,7,1,1,0,neither,,,ci-preserving-chunk,preserved,0,,,,,ok,minimized+evaded (ci:preserved)
command-injection,nodef/extra-asciinema,extra-asciinema,1.0.0,setup-fail,,rebuild-failed,fail,,line,10,,,,,,,,,,,,,,,,,,,,,,setup-fail,rebuild-failed
command-injection,hoperyy/get-npm-package-version,get-npm-package-version,1.0.6,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,1,1,,,2,0,0,0,3,0,0,0,neither,,,exploit-minimal,skipped,40,,,,,ok,minimized+evaded (ci:skipped)
command-injection,tj/node-growl,growl,1.9.0,ok,yes,minimized+evaded (ci:none),fail,yes,line,21,3,require-member->hidden,resolution,1,0,0,0,1,23,23,0,neither,,,exploit-minimal,none,0,,,,,ok,minimized+evaded (ci:none)
command-injection,handsontable/formula-parser,hot-formula-parser,3.0.0,ok,n/a (codeql),minimized+evaded (ci:skipped),fail,yes,hunk,96,1,eval->Function+locals,sink,5,3,3,0,,,,,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
command-injection,GuyMograbi/kill-by-port,kill-by-port,0.0.1,ok,yes,minimized+evaded (ci:baseline-already-broken),fail,yes,line,1,1,params->arg-guard,flow,0,0,0,0,1,2,2,0,neither,,,exploit-minimal,baseline-already-broken,0,,,,,ok,minimized+evaded (ci:baseline-already-broken)
command-injection,ssnau/killport,killport,1.0.1,ok,yes,minimized+evaded (ci:none),fail,yes,line,1,1,shell-sink->hidden-member,sink,4,0,0,0,0,1,1,0,neither,,,exploit-minimal,none,0,,,,,ok,minimized+evaded (ci:none)
command-injection,jas-/node-libnmap,libnmap,0.4.11,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,11,4,,,1,0,0,0,2,3,3,3,codeql,,js/shell-command-constructed-from-input×3,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ lib/classes/tools.js:157 — This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string concatenation which depends on [library input](3) is later used in a [shell command](2). || js/shell-command-constructed-from-input @ lib/classes/tools.js:162 — This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string conca… || js/shell-command-constructed-from-input @ lib/classes/tools.js:163 — This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string concatenation which depends on [library input](3) is later used in a [shell command](2).,,ok,minimized+partial-evade (ci:skipped)
command-injection,scravy/node-macaddress,macaddress,0.2.8,ok,yes,minimized+evaded (ci:preserved),fail,yes,line,17,4,require-member->hidden,resolution,5,0,0,0,1,2,1,0,neither,,,exploit-minimal,preserved,0,,,,,ok,minimized+evaded (ci:preserved)
command-injection,roest01/node-pdf-image,pdf-image,1.0.5,ok,yes,minimized+evaded (ci:baseline-already-broken),fail,yes,line,24,8,require-member->hidden,resolution,1,0,0,0,1,4,1,0,neither,,,exploit-minimal,baseline-already-broken,0,,,,,ok,minimized+evaded (ci:baseline-already-broken)
command-injection,soyuka/pidusage,pidusage,1.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,9,7,,,4,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
command-injection,rrainn/PortProcesses,portprocesses,1.0.4,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,8,2,,,3,0,0,0,0,3,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ index.js:28 — This string concatenation which depends on [library input](1) is later used in a [shell command](2).,,ok,minimized+partial-evade (ci:skipped)
command-injection,natalan/samsung-remote,samsung-remote,1.2.5,ok,n/a (codeql),minimized+evaded (ci:baseline-already-broken),fail,yes,line,19,7,,,0,0,0,0,,,,,neither,,,exploit-minimal,baseline-already-broken,0,,,,yes,benchmark-fail,revert-applied-no-repro
command-injection,kellyselden/git-diff-apply,scp,0.0.3,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,kellyselden/git-diff-apply,,,,benchmark-fail,revert-applied-no-repro
command-injection,totaljs/framework,total.js,3.4.6,ok,n/a (codeql),minimized+evaded (ci:skipped),fail,yes,line,2,1,,,0,0,0,0,,,,,neither,,,exploit-minimal,skipped,0,totaljs/framework,,,,ok,minimized+evaded (ci:skipped)
command-injection,vvo/node-whereis,whereis,0.4.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,7,1,shell-sink->hidden-member,sink,1,7,1,0,0,1,2,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
path-traversal,vivaxy/here,@vivaxy/here,3.1.0,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,,,setup-fail,image-failed
path-traversal,simonh1000/angular-http-server,angular-http-server,1.0.0,ok,n/a (codeql),minimized+evaded (ci:none),fail,yes,line,10,7,,,3,0,0,0,,,,,neither,,,exploit-minimal,none,0,,,,yes,benchmark-fail,baseline-already-vulnerable: image-not-fixed
path-traversal,omphalos/crud-file-server,crud-file-server,0.7.0,ok,n/a (codeql),minimized+evaded (ci:none),fail,yes,line,2,1,,,0,0,0,0,,,,,neither,,,exploit-minimal,none,0,,,,yes,benchmark-fail,baseline-already-vulnerable: image-not-fixed
path-traversal,jarofghosts/glance,glance,3.0.0,ok,n/a (codeql),minimized+evaded (ci:baseline-already-broken),fail,yes,line,46,2,,,7,0,0,0,,,,,neither,,,exploit-minimal,baseline-already-broken,46,,,,yes,benchmark-fail,baseline-already-vulnerable: image-not-fixed
path-traversal,eldoy/hangersteak,hangersteak,0.2.2,ok,yes,minimized+partial-evade (ci:skipped),fail,yes,hunk,61,1,path-builder->hidden-member,sink,3,0,0,0,1,2,2,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+partial-evade (ci:skipped)
path-traversal,henrytseng/hostr,hostr,2.0.0,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,2,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,baseline-already-vulnerable: image-not-fixed
path-traversal,nunnly/m-server,m-server,1.4.0,ok,n/a (codeql),minimized+evaded (ci:preserved),fail,yes,line,20,1,,,4,0,0,0,,,,,neither,,,exploit-minimal,preserved,3,,,,yes,benchmark-fail,baseline-already-vulnerable: image-not-fixed
path-traversal,sandy98/node-simple-router,node-simple-router,0.10.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,8,1,,,19,0,0,0,13,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
path-traversal,nim579/node-srv,node-srv,2.0.0,setup-fail,,rebuild-failed,fail,,line,5,,,,,,,,,,,,,,,,,,,,,,setup-fail,rebuild-failed
path-traversal,tnantoka/public,public,0.1.2,exploit-fail,,baseline-already-vulnerable: exploit-self-fires,pass,,line,2,,,,,,,,,,,,,,,,,,,,,,exploit-fail,baseline-already-vulnerable: exploit-self-fires
path-traversal,ChristoPy/serve-here.js,serve-here.js,1.1.0,exploit-fail,,baseline-already-vulnerable: exploit-self-fires,pass,,line,5,,,,,,,,,,,,,,,,,,,,,,exploit-fail,baseline-already-vulnerable: exploit-self-fires
prototype-pollution,aws/aws-sdk-js,@aws-sdk/shared-ini-file-loader,1.0.0-rc.8,benchmark-fail,,revert-applied-no-repro,fail,,line,6,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,revert-applied-no-repro
prototype-pollution,eivindfjeldstad/dot,@eivifj/dot,1.0.2,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,16,2,,,4,0,0,0,1,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,firebase/firebase-js-sdk,@firebase/util,0.3.3-canary.c47ba31d0,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,firebase/firebase-js-sdk,,,,setup-fail,image-failed
prototype-pollution,strikeentco/set,@strikeentco/set,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,hunk,25,1,,,0,0,0,0,0,2,2,2,codeql,,js/prototype-polluting-assignment×2,exploit-minimal,skipped,0,,,js/prototype-polluting-assignment @ main.js:9 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1). || js/prototype-polluting-assignment @ main.js:11 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1).,,ok,minimized+partial-evade (ci:skipped)
prototype-pollution,TypedProject/tsed,@tsed/core,5.62.3,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,,,setup-fail,image-failed
prototype-pollution,viking04/merge,@viking04/merge,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,3,1,,,0,1,1,1,0,0,0,0,semgrep,mini-unsafe-forin-copy×1,,exploit-minimal,skipped,0,,mini-unsafe-forin-copy @ index.js:3 — `for...in` copy with no own-property check and no `__proto__` guard. Inherited and prototype-reaching keys are copied straight into the destination object.,,,ok,minimized+partial-evade (ci:skipped)
prototype-pollution,algolia/algoliasearch-helper-js,algoliasearch-helper,3.6.0,setup-fail,,rebuild-failed,fail,,line,5,,,,,,,,,,,,,,,,,,,,,,setup-fail,rebuild-failed
prototype-pollution,jonschlinkert/assign-deep,assign-deep,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,15,3,pp-key->launder,flow,1,0,0,0,0,1,1,1,codeql,,js/prototype-pollution-utility×1,exploit-minimal,skipped,0,,,js/prototype-pollution-utility @ index.js:29 — Properties are copied from [here](1) to [target](2) without guarding against prototype pollution.,,ok,minimized+partial-evade (ci:skipped)
prototype-pollution,diegohaz/bodymen,bodymen,1.0.0,setup-fail,,rebuild-failed,fail,,line,3,,,,,,,,,,,,,,,,,,,,,,setup-fail,rebuild-failed
prototype-pollution,ashaffer/cached-path-relative,cached-path-relative,1.0.1,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,1,1,,,0,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,eugeneware/changeset,changeset,0.1.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,4,1,,,2,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,davideicardi/confinit,confinit,0.3.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,32,3,,,8,2,1,1,0,2,0,0,semgrep,prototype-pollution-loop×1,,exploit-minimal,skipped,0,,"prototype-pollution-loop @ index.js:119 — Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicio…",,,ok,minimized+partial-evade (ci:skipped)
prototype-pollution,mattinsler/connie-lang,connie,0.1.0,benchmark-fail,,revert-applied-no-repro,fail,,line,35,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,revert-applied-no-repro
prototype-pollution,hlfshell/controlled-merge,controlled-merge,1.0.0,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,7,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,baseline-already-vulnerable: image-not-fixed
prototype-pollution,unclechu/node-deep-extend,deep-extend,0.5.0,ok,n/a (codeql),minimized+evaded (ci:broken),fail,yes,line,5,1,,,2,0,0,0,,,,,neither,,,ci-unpreservable,broken,0,,,,yes,benchmark-fail,revert-applied-no-repro
prototype-pollution,ASaiAnudeep/deep-override,deep-override,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,1,,,2,0,0,0,0,1,1,1,codeql,,js/prototype-pollution-utility×1,exploit-minimal,skipped,0,,,js/prototype-pollution-utility @ src/index.js:53 — Properties are copied from [obj](1) to [target](2) without guarding against prototype pollution.,,ok,minimized+partial-evade (ci:skipped)
prototype-pollution,sharpred/deepHas,deephas,1.0.5,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,18,1,pp-assign->helper-set,sink,0,1,1,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,alexindigo/deeply,deeply,3.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,17,1,,,0,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,isaymatato/deepref,deepref,1.1.1,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,3,1,,,0,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,jonschlinkert/defaults-deep,defaults-deep,0.2.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,1,1,,,0,0,0,0,0,1,1,1,codeql,,js/prototype-pollution-utility×1,exploit-minimal,skipped,0,,,js/prototype-pollution-utility @ index.js:22 — Properties are copied from [current](1) to [target](2) without guarding against prototype pollution.,,ok,minimized+partial-evade (ci:skipped)
prototype-pollution,mrodrig/doc-path,doc-path,2.0.0,benchmark-fail,,revert-applied-no-repro,fail,,line,12,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,revert-applied-no-repro
prototype-pollution,rhalff/dot-object,dot-object,2.1.2,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,48,4,,,4,0,0,0,7,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,sindresorhus/dot-prop,dot-prop,2.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,6,1,,,4,0,0,0,4,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,deoxxa/dotty,dotty,0.0.1,benchmark-fail,,revert-applied-no-repro,fail,,hunk,29,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,revert-applied-no-repro
prototype-pollution,justmoon/node-extend,extend,3.0.1,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,,,setup-fail,image-failed
prototype-pollution,crysalead-js/extend-merge,extend-merge,1.0.5,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,4,1,pp-key->launder,flow,0,0,1,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,Starcounter-Jack/JSON-Patch,fast-json-patch,2.0.4,setup-fail,,rebuild-failed,fail,,line,42,,,,,,,,,,,,,,,,,,,,,,setup-fail,rebuild-failed
prototype-pollution,jessie-codes/safe-flat,flat,5.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,3,1,,,1,1,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,hapijs/hoek,hoek,5.0.0,unknown,,harness-error,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,harness-error
prototype-pollution,i18next/i18next,i18next,19.7.0,exploit-fail,,poc-ignores-package,,,line,3,,,,,,,,,,,,,,,,,,,,,,exploit-fail,poc-ignores-package
prototype-pollution,immerjs/immer,immer,8.0.0,setup-fail,,rebuild-failed,fail,,line,2,,,,,,,,,,,,,,,,,,,,,,setup-fail,rebuild-failed
prototype-pollution,Ajnasz/IniReader,inireader,1.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,12,1,,,1,1,0,0,2,3,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,clientIO/joint,jointjs,2.2.1,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,revert-applied-no-repro
prototype-pollution,jquery/jquery,jquery,1.11.0,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,,,setup-fail,image-failed
