repository,package,status,fixed_findings,reverted_findings,new_findings,new_in_patched_files,new_errors,new_warnings,new_info,detected,top_rules,codeql_status,codeql_fixed,codeql_reverted,codeql_new,codeql_detected,codeql_top_rules,detected_by,codeql_messages,semgrep_messages,revert_status,files_reverted,note
hot-formula-parser_3.0.0,hot-formula-parser,ok,2,4,2,2,1,1,0,yes,mini-dynamic-code-evaluation×1; eval-detected×1,ok,2,2,0,no,,semgrep,,"mini-dynamic-code-evaluation @ src/grammar-parser/grammar-parser.js:226 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || eval-detected @ src/grammar-parser/grammar-parser.js:226 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not…",partial,4,partial revert: some patched files could not be reverted (see revert.log)
is-my-json-valid_2.20.0,is-my-json-valid,ok,3,3,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,1,
js-yaml_3.13.0,js-yaml,ok,22,22,0,0,0,0,0,no,,ok,3,3,0,no,,neither,,,ok,6,
m-log_0.0.1,m-log,ok,4,4,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,2,
mixin-pro_0.6.0,mixin-pro,ok,4,4,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,2,
mobile-icon-resizer_0.4.0,mobile-icon-resizer,ok,8,10,2,2,1,1,0,yes,mini-dynamic-code-evaluation×1; eval-detected×1,ok,6,6,6,yes,Unsafe shell command constructed from library input×6,both,"Unsafe shell command constructed from library input @ /lib/resize.js — This string concatenation which depends on [[""library input""|""relative:///lib/resize.js:146:24:146:30""]] is later used in a [[""shell command""|""relative:///lib/resize.js:39:11:48:4""]]. || Unsafe shell command constructed from library input @ /lib/resize.js — This string concatenation which depends on [[""library input""|""relative:///lib/resize.js:146:24:146:30""]] is later used in a [[""shell command""|""relative:///lib/resize.js:39:11:48:4""]]. This string concatenation which dep… || Unsafe shell command constructed from library input @ /lib/resize.js — This path concatenation which depends on [[""library input""|""relative:///lib/resize.js:146:24:146:30""]] is later used in a [[""shell command""|""relative:///lib/resize.js:39:11:48:4""]]. || Unsafe shell command constructed from library input @ /lib/resize.js — This path concatenation which depends on [[""library input""|""relative:///lib/resize.js:146:24:146:30""]] is later used in a [[""shell command""|""relative:///lib/resize.js:39:11:48:4""]]. || Unsafe shell command constructed from library input @ /lib/resize.js — This path concatenation which depends on [[""library input""|""relative:///lib/resize.js:146:24:146:30""]] is later used in a [[""shell command""|""relative:///lib/resize.js:39:11:48:4""]]. || Unsafe shell command constructed from library input @ /lib/resize.js — This path concatenation which depends on [[""library input""|""relative:///lib/resize.js:146:24:146:30""]] is later used in a [[""shell command""|""relative:///lib/resize.js:39:11:48:4""]].","mini-dynamic-code-evaluation @ lib/resize.js:31 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || eval-detected @ lib/resize.js:31 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not…",ok,2,
mol-proto_0.1.3,mol-proto,ok,16,16,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,3,
pixl-class_1.0.0,pixl-class,ok,5,7,2,2,1,1,0,yes,mini-dynamic-code-evaluation×1; eval-detected×1,ok,0,0,0,no,,semgrep,,"mini-dynamic-code-evaluation @ class.js:26 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || eval-detected @ class.js:26 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not…",ok,2,
serialize-javascript_2.0.0,serialize-javascript,ok,1,1,0,0,0,0,0,no,,ok,0,1,1,yes,Insecure randomness×1,codeql,"Insecure randomness @ /index.js — This uses a cryptographically insecure random number generated at [[""Math.random()""|""relative:///index.js:10:38:10:50""]] in a security context.",,ok,4,
static-eval_1.1.1,static-eval,ok,1,1,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,1,
thenify_3.3.0,thenify,ok,0,4,4,4,2,2,0,yes,mini-dynamic-code-evaluation×2; eval-detected×2,ok,0,0,0,no,,semgrep,,"mini-dynamic-code-evaluation @ index.js:17 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || eval-detected @ index.js:17 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not… || mini-dynamic-code-evaluation @ index.js:33 — Runtime code evaluation. Turning a value into executable code -- via eval, the Function constructor, node:vm, a string-valued timer, or an alias/computed reference to any of them -- makes every value that reaches this e… || eval-detected @ index.js:33 — Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not…",ok,2,
underscore_1.13.0-0,underscore,ok,186,186,0,0,0,0,0,no,,ok,322,322,0,no,,neither,,,ok,5,
