"Client-side URL redirect","Client-side URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///test/browser/worker.js:11:33:11:37""]].","/test/browser/worker.js","13","25","13","41"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [A-Z\[\\\]^_`a-z].","/build/lib/languages/javascript.js","392","22","392","24"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [A-Z\[\\\]^_`a-z].","/build/lib/languages/powershell.js","51","19","51","21"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [A-Z\[\\\]^_`a-z].","/build/lib/languages/powershell.js","114","20","114","22"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [A-Z\[\\\]^_`a-z].","/build/lib/languages/powershell.js","115","17","115","19"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [A-Z\[\\\]^_`a-z].","/build/lib/languages/typescript.js","392","22","392","24"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [A-Z\[\\\]^_`a-z].","/src/languages/javascript.js","224","22","224","24"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [A-Z\[\\\]^_`a-z].","/src/languages/powershell.js","51","19","51","21"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [A-Z\[\\\]^_`a-z].","/src/languages/powershell.js","114","20","114","22"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [A-Z\[\\\]^_`a-z].","/src/languages/powershell.js","115","17","115","19"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression matches <script></script>, but not <script \n></script>","/build/lib/languages/xquery.js","152","13","152","49"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression matches <script></script>, but not <script \n></script>","/src/languages/xquery.js","152","13","152","50"
"Prototype-polluting function","Functions recursively assigning properties on objects may be the cause of accidental modification of a built-in prototype object.","warning","Properties are copied from [[""from""|""relative:///demo/vue.js:1187:25:1187:28""]] to [[""obj""|""relative:///demo/vue.js:1036:27:1036:29""]] without guarding against prototype pollution.
Properties are copied from [[""from""|""relative:///demo/vue.js:1188:21:1188:24""]] to [[""obj""|""relative:///demo/vue.js:1036:27:1036:29""]] without guarding against prototype pollution.
Properties are copied from [[""result""|""relative:///demo/vue.js:2439:19:2439:24""]] to [[""obj""|""relative:///demo/vue.js:1036:27:1036:29""]] without guarding against prototype pollution.","/demo/vue.js","1036","27","1036","29"
"Prototype-polluting function","Functions recursively assigning properties on objects may be the cause of accidental modification of a built-in prototype object.","warning","Properties are copied from [[""from""|""relative:///demo/vue.js:1187:25:1187:28""]] to [[""target""|""relative:///demo/vue.js:1103:7:1103:12""]] without guarding against prototype pollution.
Properties are copied from [[""from""|""relative:///demo/vue.js:1188:21:1188:24""]] to [[""target""|""relative:///demo/vue.js:1103:7:1103:12""]] without guarding against prototype pollution.","/demo/vue.js","1103","7","1103","12"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings starting with '`' and containing many repetitions of '\\_'.","/src/languages/r.js","100","32","100","44"
